,label,keshi,nianling,xiebie,title,dafu1,dafu2,dafu3,dafu4,dafu5,dafu6,dafu7,dafu8,dafu9,dafu10,dafu11,dafu12,dafu13,dafu14,dafu15,dafu16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"这是什么原因引起的,请问这是什么原因引起的？,这是什么东西呀？什么原因引起的？,宝宝的舌头是花的","你的这种情况从图片上看，像是真菌感染引起的甲癣，有必要到三级以上医院皮肤科检查病原体，如果能发现真菌，需要规律的抗真菌治疗，,抗真菌治疗需要明确诊断后再使用抗真菌药物，抗真菌药物有副作用，不建议盲目的使用，目前可以适当外用亮甲，,目前没有看到具体的病例介绍，需要对你的情况作出全面的了解，才能做出分析指导意见，,目前有必要详细介绍你的具体情况，根据具体的实际情况，再作出判断，,抱歉，我回答过的问题不可能都记得了",你这样的的情况能传上照片来看看比较好,",如果不能传图片，建议你抽空到当地医院专科医师详细检查后再治疗一下比较好些",",你好考虑是有缺乏维生素导致的情况，建议要保持口腔卫生，多喝水，饮食要清淡，多吃水果和蔬菜，有利于调理这个情况的",",请将您的病情具体描述一下，医生了解相关信息后会为您详细解答的",", 你好，子宫平滑肌瘤是妇女的常见病，但是子宫平滑肌瘤的病因尚不明了",但肌瘤是一种依靠于雌激素生长的肿瘤,而绝经后肌瘤逐渐缩小,",发现子宫肌瘤如果不能得到及时治疗，以免出现出血多",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"这是怎么回事是脑瘤吗什么原因造,龟头这是怎么回事啊 什么原因,这是怎么回事","鞍区主要有蝶鞍、鞍膈、垂体等结构，其中垂体部位能够恶变形成肿瘤，如垂体大腺瘤，此外，由于垂体能够分泌激素，具体到病人，看平时是否有乏力，发育障碍，精神改变等症状，,建议受限行MRI检查，必要时可行pet-ct检查，同时根据症状判定是否存在肿瘤,你好！根据你介绍的情况，以及提供的照片，有可能是龟头感染或者是过敏引起的，建议你到正规医院泌尿科检查治疗",",这种情况可能是毛周角化症，可外用维甲酸,水杨酸药膏等，口服维生素A或多吃富含维生素A的食物",",千万不要去抓、去挠，平时的生活中还要注意皮肤的湿润和清洁，注意生活中多补充水分",不要吃辛辣刺激性的食物，要多吃一些新鲜蔬菜和水果，注意平时的生活习惯,",你好根据你所描述患儿 情况考虑是接触了过敏原导致的皮肤过敏,建议家长带患儿去医院的皮肤科进行检查，明确病因及时对症治疗啊,从图片看，有可能是有过敏性皮炎，神经性皮炎等，常见的为过敏性皮炎，由于人体对药物，食物，理化因素过敏后引起皮肤的红斑，丘疹，小颗粒，瘙痒不适症状，反复发生",",需适当用些药物，如扑尔敏片或西替利嗪片等治疗，避免吃辛辣食物和饮酒，都可以恢复正常的",如果严重需去医院就诊针对性的治疗,",您好，我们两个皮肤一样，疙瘩生长部位，形状都一样，因为皮脂腺问题，用手挤压后形成的，没有关系的",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"眨眼睛很频繁是什么原因,小孩眨眼睛频繁是什么原因,小孩眨眼睛很频繁是什么原因,耸肩和眨眼睛很频繁是什么原因,我家小孩子频繁眨眼睛是什么原因,8岁小孩老是眨眼睛",你好，可能是属于体质性的症状，一般情况下建议及时休息，熊胆眼水试试啊,",您好，一般是结膜炎引起的，是可以到医院眼科检查后遵医嘱来治疗的，多喝水，祝健康！,您好，根据您提供的情况考虑，宝宝可能是由于抽动症导致的这种情况，建议您需要及时带宝宝到医院检查一下，明确诊断对症治疗祝宝宝早日康复,儿童频繁眨眼常见于干眼症，视疲劳，炎症感染，屈光不正等情况，但是也不排除抽动症的原因",",建议到医院进行相关检查，根据检查结果进行治疗",",朋友你好，以目前的情况来分析，有可能是倒睫或结膜炎，希望及早确诊治疗",祝早日康复,",你好，依据你的描述情况分析 建议尽快去检查一下，是不是多动症的症状，不要吃辛辣油腻的东西及零食",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"小孩老是眨眼睛是什么原因？,小孩老是眨眼睛是什么原因,小孩老是眨眼睛",爱眨眼考虑是干眼症,维生素A能够缓解干眼症，但是不建议长期服用维生素A，容易造成VA的中毒,",如果服用VA效果不佳，那么考虑是否是小孩的习惯问题，而并不是干眼症",",意见建议：你好",小孩爱眨眼的原因还是比较多的，首先要注意排除眼睛方面的问题如结膜炎、屈光不正等问题，可以先去眼科检查一下，另外还有一个常见的原因是抽动症,所以需要判断清楚具体的病因后进行治疗,",孩子要是出现眨眼，可注意有无眼部感染情况，如结膜炎，另外还需要排除抽动症可能",",本来，眨眼是人体正常的生理活动，是眼保护性反射动作",但有的家生发现自己的孩子常常出现无意或有意的频繁眨眼动作，而且频率很快，不由自主,这究竟是怎么回事呢?其实这类眨眼已属病理状态，医学上称之为“异常瞬目症”, 患儿瞬目是一种眼睑神经反射，具有保护眼的功能,在正常情况下，每分钟眨眼不超过15次，但频率太快则属于异常，通过眼科检查可以发现大部分患儿有浅层角膜炎、结膜炎、屈光不正、寄生虫病、睡眠不足等病症,",病情分析： 孩子经常眨眼,挤眼时,首先要仔细询问孩子眼睛有什么不舒服,是否发痒及有异物感等,然后再请眼科医生检查,针对病因进行治疗,,意见建议：必要时眼部可点滴抗生素眼药液,拔除倒睫,清除角膜,结膜异物.还要停止看电视,不玩电脑.如为不良习惯的眨眼,挤眼,家长不要一味训斥孩子,要教育孩子尽量不要有意识地眨眼,挤眼,并逐步克服眨眼,挤眼的坏习惯.,建议：家长，你好",孩子眨眼的原因有很多，其主要原因可以分为以下几点：　　1、眼部炎症性疾病：主要是由眼表疾病导致的，如结膜炎、点状角膜炎、倒睫等,　　2干眼、视疲劳：这类患儿，看电视、用电脑、玩手机游戏以及用mp4看电影等，都容易导致用眼过度,长时间用眼，不仅会导致视疲劳、干眼，还会导致近视的发生,因此，家长一定要让孩子形成良好的用眼习惯,　　如果可以排除以上原因，家长就应该考虑孩子是否患上了抽动症，可以在日常生活中多关注孩子：常常出现无意的、有意的频繁眨眼动作，而且频率很快、自己无法控制等症状的出现，应及时就医治疗,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"川崎病到底是什么原因引起的？,甲亢到底是什么病",病情分析： 川崎病以全身性血管炎为主要病变的小儿急性发热性疾病，发病可能与多种病毒、细菌、立克次体、支原体等感染所致免疫异常有关,",甲亢是甲状腺激素分泌过多所致",原因很多，常见的跟自身免疫有关,一般可以采取药物，手术以及碘131治疗,平时无碘饮食，定期复查,",阴囊潮湿可以由多种原因引起，如尿路感染、湿疹、一些性病、以及穿过紧不透气的内裤等等阴囊潮湿不一定是病态，因此如无其它不适，注意局部的清洁干燥即可",",平时注意清淡饮食，少吃生冷食物，少吃辛辣鱼腥食物",不过一般阴囊的潮湿可能和前列腺疾病是有一定的关系的，建议你还是积极做前列腺的检查确定具体的病情，注意对症治疗,"祝你健康, 您好，现在的症状考虑存在细菌感染， 治疗应该加用消炎药物治疗，,可以服用阿奇霉素片和复方甘草片治疗，注意休息，多喝开水，不吃辛辣刺激食物",",你好，根据你说的情况是需要你到医院给于检查，考虑是体内激素分泌紊乱导致的,病毒疹是怎么引起的，玫瑰糠疹是一种可引起皮肤色素改变的常见皮肤疾病，故称之为玫瑰糠疹",表现以椭圆形玫瑰红色斑疹、覆有糠状鳞屑、好发于躯干和四肢近端为特征,本病春秋季节好发，多见于青少年，一般4-8周可自行痊愈，很少复发，但少数患者病情迁延难愈,此种病毒可导致传染性胸肋痛，可合并心肌炎、脑膜脑炎、发烧、肝炎、溶血性贫血和肺炎等疾病，威胁病人生命安全,目前，玫瑰糠疹在治疗时多结合中西医观点，外敷加内服，常用组合疗法，在医学实践上效果不错,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"晚上睡觉双脚痛得睡不着是什么原因,晚上睡觉突然双脚痛的原因,白血病儿童激素吃了脚痛是什么原因",你好，从你描述的情况看，要注意有缺钙导致脚抽筋的可能性，这种情况建议到医院去做个微量元素的检查，然后根据检查的结果进行相应的缺乏营养元素的补充,", 足部的疼痛可能是足部的肌肉引起也可能是足部的部分神经引起或者是关节引起的，,要避免过久站立、行走，尤其是负重行走过多",疲劳后要及时休息，注意恢复,",您好， 你的孩子脚痛有可能和缺钙有关系, ,可以服用伊可新维生素AD滴剂,和丐立得复方碳酸钙颗粒,效果比较好的",",补钙和补维生素D必须同时补,维生素D是钙离子被人体吸收的载体,没有维生素D再多的钙也不吸收,钙之缘片内含维生素D,使人体对钙离子吸收能成倍,您好；考虑是缺钙所致，建议补补钙看看，","祝宝宝早日康复,你好，八岁的孩子，晨起手脚痛，如果活动以后不再疼痛，可以观察，如果一直不好转需要去医院检查一下的，可以先化验血沉，类风湿因子等",",你好,引起脚痛原因较多,临床上主要有跟腱周围炎;跟骨骨刺;跟骨骨膜炎;跟骨下脂肪垫损伤;跟骨骨折;跟骨皮下滑囊炎，治疗方面：1,理疗;2,口服非甾体类抗炎镇痛药物治疗;3,局部封闭治疗;4,矫正鞋垫缓解跖腱膜张力,减轻刺激,缓解疼痛；保养方法有：1,休息;2,选择厚底,鞋底不能软,鞋垫软一些的鞋子,最好后跟部有一定弧度以适应足跟的弧形;3,足跟部应用软垫,如硅胶制成的跟痛垫,?ぷ愀?跚崮Σ?5,功能锻炼.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"皮肤可能是什么原因造成的,干呕可能是什么原因造成的,妇科疾病是什么原因造成的？
,是什么原因造成的","病情分析： 您好，您提供的病情资料不完整，无法给出具体建议，请补充以下资料,你好，根据你说的情况是需要你到医院给予检查，这种情况是需要你给予调整饮食的, 你好引起妇科疾病的原因有很多，比如通过性生活传播，自身不注意生殖道卫生，经过公共浴池，浴盆，浴巾，游泳池，坐式便器，衣物等传播,如果有不适症状的话，建议你最好去医院做B超，分泌物等检查一下确定病因后积极的治疗的，注意个人卫生，需要禁食辛辣刺激食物，勤换内衣裤，有炎症的话要禁止性生活的",",你好！~你的问题没有描述，需要再次补充提问才好帮助你","，,你好，颅内疾病",有血管异常,肿瘤,"感染，寄生虫等很多因素引起，要看具体,你好 月经受到内分泌  情绪 环境 气候等的影响，您的情况可以先观察 不要过于担心 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"儿童不停的眨眼睛是什么原因,不断的眨眼睛是什么原因？,小孩不自觉的摇头、眨眼睛是什么原因？,多眨眼睛是什么原因引起的,小孩老是眨眼睛是什么原因引起的？,10岁的男孩频频眨眼睛是什么原因", 孩子出现频繁眨眼的情况，一定要及时去医院做个检查，当孩子存在倒睫，眼部炎症或是缺乏维生素的时候，就会有这样的表现,"指导意见:自己不要盲目给孩子用药，,针对性的治疗，才有最好的恢复效果",另外，平时不要让孩子用手揉眼，也不要经常使用滴眼液,", 眼睛眨利用生理性的作息规律，比如定时起身活动一下，远眺，看看蓝蓝的天，看看绿色的树，做好眼保健操，冷水洗脸，,再就是平时可以吃一些富含维生素A类的食物，比如羊肝；再就是可以用枸杞菊花泡水喝等",",这位朋友你好：建议看看精神学专家是否是有抽动症的可能",",病情分析： 您好，孩子总眨眼不排除是患结膜炎或抽动症造成，最好先带孩子到眼科进行检查确定病因，然后在采取合理的方案治疗",",建议：家长，你好",孩子眨眼的原因有很多，其主要原因可以分为以下几点：　　1、眼部炎症性疾病：主要是由眼表疾病导致的，如结膜炎、点状角膜炎、倒睫等,　　2干眼、视疲劳：这类患儿，看电视、用电脑、玩手机游戏以及用mp4看电影等，都容易导致用眼过度,长时间用眼，不仅会导致视疲劳、干眼，还会导致近视的发生,因此，家长一定要让孩子形成良好的用眼习惯,　　如果可以排除以上原因，家长就应该考虑孩子是否患上了抽动症，可以在日常生活中多关注孩子：常常出现无意的、有意的频繁眨眼动作，而且频率很快、自己无法控制等症状的出现，应及时就医治疗,", 这种情况属于视神经的痉挛引起来的,不要担心,最好是多做眼保健操,按摩一下眼周围的穴位,然后望望远方,放松一下,也可以用润洁滴眼液滴眼,能够消除眼睛的疲劳.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"老是眨眼睛是什么原因,孩子2岁半",3岁幼儿宝宝频繁眨眼的情况，要考虑孩子微量元素水平异常的可能性，缺锌和铅高的可能性较大，应该及时就医检查微量元素为妥，发现问题尽早饮食和药物调理,",病情分析： 朋友你好,意见建议：，以目前的情况来分析，有可能是倒睫或结膜炎，希望及早确诊治疗",祝早日康复,",爱眨眼考虑是干眼症",维生素A能够缓解干眼症，但是不建议长期服用维生素A，容易造成VA的中毒,",如果服用VA效果不佳，那么考虑是否是小孩的习惯问题，而并不是干眼症",",意见建议：你好",小孩爱眨眼的原因还是比较多的，首先要注意排除眼睛方面的问题如结膜炎、屈光不正等问题，可以先去眼科检查一下，另外还有一个常见的原因是抽动症,所以需要判断清楚具体的病因后进行治疗,",你好，多发生在5～10岁的男孩","为一种突然、短暂、重复、刻板的一组肌肉或两组肌肉的抽动发作,表现为眨眼、挤眉、龇牙、做怪相、耸肩、转颈、点头、躯体扭动、手臂摇动或踢脚、下肢抽动等，情绪紧张时加剧，精神集中时减少，睡眠时消失","在一个时期以某一组肌肉抽动为主，表现为同一个症状；,您好",导致孩子频繁眨眼的原因有很多，如睫毛乱生或倒睫，结膜炎症，结膜结石等，仅仅看您的描述，是不好下结论的,",建议应该及时带孩子去医院做个检查确诊",如果伴随眨眼还出现分泌物，可以用牛磺酸滴眼液给孩子使用,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"抽筋的原因是什么？成因,眼睛发雾的原因是什么？有哪些致成因素,成因是什么？,血管瘤的成因是什么原因呢?,痔疮成因是什么？,肥胖的成因是什么？",可能还是缺钙引起的，您还是需要注意饮食营养增强体质的,", 眼睛疲劳导致的","建议要多注意保护好眼睛，不要过度用眼，,另外，补充维生素维生素A对您这样的情况还是有比较好的效果的，饮食上也可以多吃点芝麻、大豆、鲜奶、小麦胚芽等食物","最好先去眼科检查一下，因为眼睛是比较重要而且脆弱的，需要及时护理,您好，被害妄想症是病人由于缺乏安全感，导致对外界的极度不信任，而产生的一种幻想",",要注重培养健全的人格，培养多种有益爱好，保持思维开阔",积极地自我调节，比如找朋友和家人谈天交流，或者参加一些体育运动，或者是去观光旅游,",血管瘤一般无自觉症状，无疼痛感，长到特殊部位的血管瘤或者是压迫神经，或者附近器官时会有疼痛感觉，另外不同类型的血管瘤临床表现也是不同的，临床上最常见的有如下几种类型：一:毛细血管瘤种类很多,分别介绍如下,你好、解剖学原因：人在站立或坐位时、肛门直肠位于下部、由于重力和脏器的压迫、静脉向上回流颇受障碍、直肠静脉及其分枝缺乏静脉瓣、血液不易回流、容易瘀积、其血管排列在不同高度穿过肌层、容易受粪块压迫、影响血液回流、静脉又经过粘膜下层的疏松组织、周围缺乏支架固定、容易扩张屈曲,病情分析：控制饮食，定时定量，多运动有可能会有减肥的功效",",
意见建议：",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"儿童眨眼频繁原因,儿童眨眼频繁原因,小孩眨眼原因,小孩眨眼什么原因,儿童眨眼频繁的原因,小孩即眨眼又流泪的原因",你好，根据你描述的情况考虑频繁的眨眼应该是神经方面的异常导致的，这个可以尝试针灸的方法看看,", 频繁眨眼可能和孩子视力下降、倒睫、过敏性结膜炎等有关.,建议到医院眼科进行相关检查明确",可以使用色甘酸钠滴眼液缓解眼痒症状,",有可能是得了儿童抽动症，有时间带孩子去专治儿童抽动症的医院去检查一下，,你好.频繁眨眼一般分为症状性与自发性两种，前者是某些眼病或全身疾病引起，如浅层角膜炎、干眼症、慢性结膜炎、沙眼、内翻倒睫或蛔虫症等所引起,这些只要针对病因进行治疗，频繁眨眼就可消除；若系自发性则为眼睑本身的原因所致，在治疗上则较为棘手，采用眼轮匝肌、面神经封闭及药物治疗有一定疗效，但有时亦不甚满意","建议到医院检查一下！,可能是看到有人这样做了",一定要宝宝改掉,要不长大的就麻烦了,",可能这只是一种坏习惯眼睑发红是因为眨的太多嘴干可能是眨眼频率过高消耗所至舔嘴是嘴干觉得不舒服......但应该引起重视可能是疾病引起最好去相关医院去看看                                       引起儿童频繁眨眼的原因有以下几种：(常见抽动症) ,  倒睫 主要见于比较肥胖的婴幼儿.由于面部肥胖下眼睫毛向内卷入磨擦刺激黑眼球引起.   病毒性角膜炎 多发生于感冒发热后患儿突然发生频繁的眨眼可伴有眼红流泪羞明（怕光）等症状也可无眼部其它症状但在裂隙灯下检查可以发现黑眼球的表面有病灶浸润.   电视图像刺激 这是因为电视画面闪烁变化速度快导致儿童视觉中枢过度兴奋所致.( 让孩子看电视时间不要太长不要距电视太近)  精神刺激 多见于5—13岁的儿童.患儿在眨眼时常使劲挤眼或伴有面部肌肉痉挛抽动或伴有肩腹部肌肉的抽动.这类儿童大多受到父母的斥责或学习有压力或心情不舒畅.眼部检查无任何异常.   上述原因引起的眨眼都可治疗.倒睫可手术矫正.病毒性角膜炎可药物治疗.对电视画面刺激所引起的眨眼要强制禁止孩子看电视.对精神刺激引起的眨眼应帮助孩子解除心理压力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"儿童抽动症的原因可能是什么？孩子得了抽动,资阳治疗小儿抽动多少钱呢,儿童抽动症,抽动症能自愈吗,儿童抽动症是什么原因,辽宁能治愈儿童抽动症呢?","儿童抽动症并非是孩子的坏毛病而是一种疾病这种疾病对儿童的学习、个性发展和社会交往有很大的影响一方面患儿的抽动会导致其注意力分散由于注意力不能集中在学习上这些孩子的成绩一般较差同学和老师的歧视或嘲笑会让患儿更不喜欢上学甚至厌学、逃学我知道一家位于青岛市南区朝城路2号的一家专治抽动症的医院中国儿童医学研究中心这家医院很权威你可以上网搜索一下还可以网上预约很方便,您好，抽动症是抽动-秽语综合征的简称，又叫多发性抽动症，是以面部、四肢、躯干部肌肉复发性、不自主、快速无目的抽动伴喉部异常发音及猥秽语言为特征的综合征候群",",您好，对于抽动障碍的治疗，主要包括药物治疗与心理治疗",药物治疗可分为针对抽动症状的治疗与针对抽动症所伴有的症状的药物治疗,心理治疗对抽动障碍的儿童也相当重要,首先，作为家长和老师要正确认识抽动障碍，避免各种加重症状的因素,",抽动症是要吃药治疗的，建议到神经科面诊",",中医按整体观及辩证论原则对本病进行病因、病理及症候分型，参照阴阳五行、营卫气血、舌脉象等制定治疗原则，有目的地选择中药汤剂、中成药针灸、推拿、耳穴、经络疗法等","在控制症状的同时，改善患儿体质，祛除病因，如忧郁所致的患者应辅以舒肝解郁法，使患者的性格变得开朗,您好，孕产因素，母孕期高热、难产史、生后窒息史、新生儿高胆红素血症、剖宫产等",感染因素，上呼吸道感染、扁桃体炎、腮腺炎、鼻炎、咽炎、水痘、各型脑炎、病毒性肝炎等,",儿童抽动症是一种常见的慢性疾病,大多起病于4～12岁.儿童抽动症的病因至今尚不清楚,儿童受惊吓或精神紧张常常是发病的诱因,发病后会出现面部肌肉或肢体肌肉反复地抽动.,对儿童的抽动表现可采取不理睬的态度,使症状逐步减弱消退","若有学校因素,应与老师联系协同解决","对属于无法解决的因素,则应给予支持性心理疗法,帮助小儿找正确的对待方法", 　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"九岁了挤眼撅嘴是什么病,儿童挤眼撅嘴是什么原因,孩子经常挤眼,屈鼻子,瘪嘴,撅嘴,怎么办？,您好",你好，一般考虑孩子眨眼的原因是眼疲劳、过敏性结膜炎等原因造成的,",建议带小朋友去医院做一个详细的检查，看看是否为炎症或倒睫的刺激","少让孩子看电视，看书要注意距离，避免视疲劳，祝你健康！,该障碍为抽动障碍中最为严重的一型",一般起病于2-15岁，平均起病年龄为7岁,主要临床表现为进行性发展的多部位、形式多种多样的运动抽动和一种或多种发声抽动，运动抽动和发声抽动同时存在,该障碍症状一般起始于眼、面部单一运动抽动，时有时无，以后逐渐发展到颈部、肩部、肢体、躯干的抽动，并持续存在,抽动形式也从简单到复杂，最后出现秽语,通常发声抽动症状较运动抽动症状晚1-2年出现，多为简单发声抽动，复杂发声抽动较少，约15%的患儿存在秽语,该障碍症状累及部位多，次数频繁，对患儿情绪、心理影响较大,约有一半患儿伴有强迫症状，一半患儿伴有注意缺陷与多动障碍症状，并有部分患儿伴有自伤行为、情绪障碍或学习困难,",【建议家长先带孩子来院检查下，或者点击头像右侧的“在线咨询”进行详细的了解！】, 你好，根据你的描述，孩子现在还小，对于外界的事物会表现的很好奇，所以也会经常模仿一些人或者事物，这就是我们所说的小动作，没有太大的问题",",建议：因为你没有说宝宝具体的多大，如果是已经能听的懂大人的话了，建议她平时做这些动作的时候就制止她，让她改掉这个毛病，祝你好运",", 你好，根据你的描述",抽动症，属于慢性精神病，多发于学龄儿童,随着生活环境变化和社会变革加剧，儿童抽动症的发病呈现持续增长的态势，在城市儿童中尤为明显,",你有抽动症的表现，建议到医院进一步确诊，如果不是就是恶习了，矫正就可以了",", 你好，根据你的描述，孩子现在还小，对于外界的事物会表现的很好奇，所以也会经常模仿一些人或者事物，这就是我们所说的小动作，没有太大的问题",",建议：因为你没有说宝宝具体的多大，如果是已经能听的懂大人的话了，建议她平时做这些动作的时候就制止她，让她改掉这个毛病，祝你好运",",如果是咯出的血，应注意肺部疾病如肿瘤或者结核，需要做肺CT检查;如果是吐出血，应注意消化道疾病，需要做胃镜及腹部超声检查",必须查明病因，从根本上止血，然后才是补血,,,,,,,,,,,,,,,,,,,,,,
,,,,,"九岁了挤眼撅嘴是什么病,儿童挤眼撅嘴是什么原因,孩子经常挤眼,屈鼻子,瘪嘴,撅嘴,怎么办？,您好",你好，一般考虑孩子眨眼的原因是眼疲劳、过敏性结膜炎等原因造成的,",建议带小朋友去医院做一个详细的检查，看看是否为炎症或倒睫的刺激","少让孩子看电视，看书要注意距离，避免视疲劳，祝你健康！,该障碍为抽动障碍中最为严重的一型",一般起病于2-15岁，平均起病年龄为7岁,主要临床表现为进行性发展的多部位、形式多种多样的运动抽动和一种或多种发声抽动，运动抽动和发声抽动同时存在,该障碍症状一般起始于眼、面部单一运动抽动，时有时无，以后逐渐发展到颈部、肩部、肢体、躯干的抽动，并持续存在,抽动形式也从简单到复杂，最后出现秽语,通常发声抽动症状较运动抽动症状晚1-2年出现，多为简单发声抽动，复杂发声抽动较少，约15%的患儿存在秽语,该障碍症状累及部位多，次数频繁，对患儿情绪、心理影响较大,约有一半患儿伴有强迫症状，一半患儿伴有注意缺陷与多动障碍症状，并有部分患儿伴有自伤行为、情绪障碍或学习困难,",【建议家长先带孩子来院检查下，或者点击头像右侧的“在线咨询”进行详细的了解！】, 你好，根据你的描述，孩子现在还小，对于外界的事物会表现的很好奇，所以也会经常模仿一些人或者事物，这就是我们所说的小动作，没有太大的问题",",建议：因为你没有说宝宝具体的多大，如果是已经能听的懂大人的话了，建议她平时做这些动作的时候就制止她，让她改掉这个毛病，祝你好运",", 你好，根据你的描述",抽动症，属于慢性精神病，多发于学龄儿童,随着生活环境变化和社会变革加剧，儿童抽动症的发病呈现持续增长的态势，在城市儿童中尤为明显,",你有抽动症的表现，建议到医院进一步确诊，如果不是就是恶习了，矫正就可以了",", 你好，根据你的描述，孩子现在还小，对于外界的事物会表现的很好奇，所以也会经常模仿一些人或者事物，这就是我们所说的小动作，没有太大的问题",",建议：因为你没有说宝宝具体的多大，如果是已经能听的懂大人的话了，建议她平时做这些动作的时候就制止她，让她改掉这个毛病，祝你好运",",如果是咯出的血，应注意肺部疾病如肿瘤或者结核，需要做肺CT检查;如果是吐出血，应注意消化道疾病，需要做胃镜及腹部超声检查",必须查明病因，从根本上止血，然后才是补血,,,,,,,,,,,,,,,,,,,,,,
,,,,,"眼睛下边发黑这是什么原因,孩子感冒呼吸困难 憋气时口唇眼部发青 憋气时眼睛发直...,你好","病情分析:从你描述的情况来看考虑与孩子情绪不好饮食不均衡机体缺乏B族维生素等有关指导意见:这种情况下日常生活应当忌食辛辣食物多食用新鲜蔬菜水果注意饮食平衡勤刷牙注意口腔卫生保持良好的睡眠节律避免剧烈情绪波动例如恐吓孩子等必要时也可以服用维生素B族药物进行治疗 提问人的追问 2011-8-1 22:34:51谢谢您的回答上周去社区门诊一老医生给听了心脏号了号脉说没什么异常但他说最好去儿童医院全面检查一次怕是心脏有什么问题请问：这种症状跟心脏有关系吗？如果是心脏问题还会有哪些症状表现？以便我们再进行观察谢谢您, 小儿感冒轻微感冒（喷嚏、流涕）：保婴丹（风寒感冒）、牛磺酸颗粒（风热感冒）、,珠珀猴枣散、小儿宝泰康（风热）、小儿感冒颗粒、馥感林口服液、小儿金丹,, 确实要扩瞳准确验光","如果度数加深过快，可考虑行角膜塑形镜治疗,但他度数偏深还有散光150度，不一定适合，要检查下来看","（周浩大夫郑重提醒：因不能面诊患者，无法全面了解病情，以上建议仅供参考，具体诊疗请一定到医院在医生指导下进行！）,这种情况有可能是皮肤过敏引起的",最常见的原因就是接触了某些过敏物质,如果症状严重，建议你到医院去抗过敏治疗,",我觉得孩子先天泪道有问题，您需要到专业点的眼科看一下，如果时间长恐怕会有泪道的炎症引起泪囊炎",",或者先点一点托百士眼液，配合揉一揉鼻根侧面，看看有没有效果，要是一点也不好的话，还是去医院处置为好",",你好，根据你的描述，这种情况可能是重症肌无力导致的眼睑下垂和可能有白内障的情况",",建议你去检查有无重症肌无力的情况，治疗后眼睑可以睁开，查查有没有老年性白内障的情况，如果有应该根据具体程度用药或手术治疗",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"小孩尿酸高是什么原因,小孩耳朵的问题,耳朵听力不行,您好！发音问题,as患者请求帮助,医生你好：我是一名as患者",你好.如果只是尿酸高而并没有关节疼痛的症状.那么就是高尿酸血症.如果出现了关节疼痛的症状的话.那么则需要考虑痛风的诊断;;尿酸高首先就要降尿酸治疗.可以选择别嘌醇,然后在饮食中注意低嘌呤饮食.因为嘌呤在体内代谢后就生成了尿酸,即以下食物不能吃：动物内脏.坚果.啤酒.浓汤.海鲜,",你好,要以现在的检查为准,建议尽快明确病因,您好： 
您对您的病情介绍得并不十分准确，我暂时无法作出诊断","问您几个问题 
 
1，听力减退开始出现的时间，原因？是逐步的还是突然的？耳鸣呢？ 
2，耳朵是否留过脓? 
3，耳朵都有哪些症状？有无闷胀感？ 
当地做了哪些检查，诊断如何？,建议还是听取接诊医生的意见，可能更有指导作用","
祝宝宝平安健康","
,考虑男性艾滋病可以要孩子但有风险，如果孩子的父母双方都是艾滋病感染者，一定要采用母婴阻断技术才可以要孩子，否则会造成婴儿的艾滋病感染，积极控制病情",",您好，临床上，强直性脊柱炎是以骶髂关节和脊柱附着点炎症主要症状的",属风湿病范畴，是血清阴性脊柱关节病的一种,它是具有遗传性的,",有研究显示男性患者比女性患者遗传给下一代的几率低",男性患者遗传给儿子的机率比遗传给女儿的机率大,建议您生育一定要选好时机，让身体处于最佳状态，这样才能尽可能的不影响下一代, 如果对您有帮助请好评，谢谢,,,,,,,,,,,,,,,,,,,,,,,,,,,,
